XM_041998439.1#LOC121648040	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041998439.1" target=_blank>XM_041998439.1</A>
XM_041998070.1#LOC121648040	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041998070.1" target=_blank>XM_041998070.1</A>
XM_041998689.1#LOC121648040	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041998689.1" target=_blank>XM_041998689.1</A>
XM_041998357.1#LOC121648040	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041998357.1" target=_blank>XM_041998357.1</A>
XM_041998142.1#LOC121648040	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041998142.1" target=_blank>XM_041998142.1</A>
XM_041993727.1#slc9a5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993727.1" target=_blank>XM_041993727.1</A>
XM_041993710.1#slc9a5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993710.1" target=_blank>XM_041993710.1</A>
XM_041993719.1#slc9a5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993719.1" target=_blank>XM_041993719.1</A>
XM_041993653.1#plekhg4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993653.1" target=_blank>XM_041993653.1</A>
XM_041993668.1#plekhg4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993668.1" target=_blank>XM_041993668.1</A>
XM_041993661.1#plekhg4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993661.1" target=_blank>XM_041993661.1</A>
XM_041993676.1#plekhg4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993676.1" target=_blank>XM_041993676.1</A>
XM_041993962.1#rab8b	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993962.1" target=_blank>XM_041993962.1</A>
XM_041993783.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993783.1" target=_blank>XM_041993783.1</A>
XM_041993781.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993781.1" target=_blank>XM_041993781.1</A>
XM_041993780.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993780.1" target=_blank>XM_041993780.1</A>
XM_041993778.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993778.1" target=_blank>XM_041993778.1</A>
XM_041993784.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993784.1" target=_blank>XM_041993784.1</A>
XM_041993782.1#katnb1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993782.1" target=_blank>XM_041993782.1</A>
XM_041993698.1#kifc3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993698.1" target=_blank>XM_041993698.1</A>
XM_041993689.1#kifc3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993689.1" target=_blank>XM_041993689.1</A>
XM_041987592.1#cngb1a	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041987592.1" target=_blank>XM_041987592.1</A>
XM_041993862.1#LOC121645418	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993862.1" target=_blank>XM_041993862.1</A>
XM_041993870.1#LOC121645418	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993870.1" target=_blank>XM_041993870.1</A>
XM_041993901.1#LOC121645441	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993901.1" target=_blank>XM_041993901.1</A>
XM_041993849.1#LOC121645412	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993849.1" target=_blank>XM_041993849.1</A>
XM_041993911.1#LOC121645449	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993911.1" target=_blank>XM_041993911.1</A>
XM_041994113.1#gtf2a2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994113.1" target=_blank>XM_041994113.1</A>
XM_041993822.1#LOC121645397	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993822.1" target=_blank>XM_041993822.1</A>
XM_041993974.1#si:ch73-204p21.2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993974.1" target=_blank>XM_041993974.1</A>
XM_041993983.1#si:ch73-204p21.2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993983.1" target=_blank>XM_041993983.1</A>
XM_041987612.1#LOC121641470	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041987612.1" target=_blank>XM_041987612.1</A>
XM_041994028.1#il17a/f2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994028.1" target=_blank>XM_041994028.1</A>
XM_041994011.1#LOC121645517	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994011.1" target=_blank>XM_041994011.1</A>
XM_041993935.1#LOC121645457	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993935.1" target=_blank>XM_041993935.1</A>
XM_041993944.1#LOC121645457	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993944.1" target=_blank>XM_041993944.1</A>
XM_041993925.1#LOC121645457	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993925.1" target=_blank>XM_041993925.1</A>
XM_041993835.1#gpn1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993835.1" target=_blank>XM_041993835.1</A>
XM_041993888.1#LOC121645428	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993888.1" target=_blank>XM_041993888.1</A>
XM_041993879.1#LOC121645428	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993879.1" target=_blank>XM_041993879.1</A>
XM_041993813.1#LOC121645381	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993813.1" target=_blank>XM_041993813.1</A>
XM_041993804.1#LOC121645381	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993804.1" target=_blank>XM_041993804.1</A>
XM_041994036.1#LOC121645543	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994036.1" target=_blank>XM_041994036.1</A>
XM_041987625.1#LOC121641481	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041987625.1" target=_blank>XM_041987625.1</A>
XM_041993958.1#LOC121645470	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993958.1" target=_blank>XM_041993958.1</A>
XM_041993953.1#LOC121645470	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041993953.1" target=_blank>XM_041993953.1</A>
XM_041994044.1#LOC121645552	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994044.1" target=_blank>XM_041994044.1</A>
XM_041994061.1#LOC121645562	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_041994061.1" target=_blank>XM_041994061.1</A>
